column,line,amount,month
LIABILITY,9,17226511344,2002-07-01
LIABILITY,10,973636414,2002-07-01
LIABILITY,11,181877568,2002-07-01
LIABILITY,12,167382188,2002-07-01
LIABILITY,13,2192004468,2002-07-01
ASSET,1,1550619343,2002-08-01
ASSET,2,7288171011,2002-08-01
ASSET,3,4113313906,2002-08-01
ASSET,4,38792319,2002-08-01
ASSET,5,443367600,2002-08-01
ASSET,6,138952879,2002-08-01
ASSET,7,5254419928,2002-08-01
ASSET,8,10534772857,2002-08-01
ASSET,9,1416814874,2002-08-01
ASSET,10,1513121877,2002-08-01
LIABILITY,1,7525403004,2002-08-01
LIABILITY,2,2003938300,2002-08-01
LIABILITY,3,3304925,2002-08-01
LIABILITY,4,683500647,2002-08-01
LIABILITY,5,678239509,2002-08-01
LIABILITY,6,337724101,2002-08-01
LIABILITY,7,1623406599,2002-08-01
LIABILITY,8,138077077,2002-08-01
LIABILITY,9,15661496419,2002-08-01
LIABILITY,10,1092208585,2002-08-01
LIABILITY,11,181878400,2002-08-01
LIABILITY,12,171164560,2002-08-01
LIABILITY,13,2192004468,2002-08-01
ASSET,1,1612237907,2002-09-01
ASSET,2,7535515950,2002-09-01
ASSET,3,4230572521,2002-09-01
ASSET,4,21524404,2002-09-01
ASSET,5,215914210,2002-09-01
ASSET,6,144429234,2002-09-01
ASSET,7,5427488331,2002-09-01
ASSET,8,10544125223,2002-09-01
ASSET,9,1416814874,2002-09-01
ASSET,10,1392734807,2002-09-01
LIABILITY,1,7634056571,2002-09-01
LIABILITY,2,1515353166,2002-09-01
LIABILITY,3,39055762,2002-09-01
LIABILITY,4,562598907,2002-09-01
LIABILITY,5,668409656,2002-09-01
LIABILITY,6,345439347,2002-09-01
LIABILITY,7,1615468456,2002-09-01
LIABILITY,8,139059898,2002-09-01
LIABILITY,9,16176074190,2002-09-01
LIABILITY,10,1109349238,2002-09-01
LIABILITY,11,181879063,2002-09-01
LIABILITY,12,362608739,2002-09-01
LIABILITY,13,2192004468,2002-09-01
ASSET,1,1610485454,2002-10-01
ASSET,2,7611131794,2002-10-01
ASSET,3,4225690135,2002-10-01
ASSET,4,49588025,2002-10-01
ASSET,5,757128516,2002-10-01
ASSET,6,78055303,2002-10-01
ASSET,7,5423964586,2002-10-01
ASSET,8,10545000170,2002-10-01
ASSET,9,1575672324,2002-10-01
ASSET,10,1383655018,2002-10-01
LIABILITY,1,7825392995,2002-10-01
LIABILITY,2,1644710640,2002-10-01
LIABILITY,3,127152109,2002-10-01
LIABILITY,4,399023292,2002-10-01
LIABILITY,5,669376066,2002-10-01
LIABILITY,6,351783426,2002-10-01
LIABILITY,7,1615468456,2002-10-01
LIABILITY,8,139059898,2002-10-01
LIABILITY,9,16715682092,2002-10-01
LIABILITY,10,1046867744,2002-10-01
LIABILITY,11,181879903,2002-10-01
LIABILITY,12,351970236,2002-10-01
LIABILITY,13,2192004468,2002-10-01
ASSET,1,1607886737,2003-01-01
ASSET,2,7194534121,2003-01-01
ASSET,3,3770593306,2003-01-01
ASSET,4,559973265,2003-01-01
ASSET,5,3066882005,2003-01-01
ASSET,6,234643902,2003-01-01
ASSET,7,5636915324,2003-01-01
ASSET,8,10472588246,2003-01-01
ASSET,9,1416814874,2003-01-01
ASSET,10,1188922550,2003-01-01
LIABILITY,1,7931140479,2003-01-01
LIABILITY,2,1802535843,2003-01-01
LIABILITY,3,0,2003-01-01
LIABILITY,4,507011670,2003-01-01
LIABILITY,5,677400648,2003-01-01
LIABILITY,6,326955938,2003-01-01
LIABILITY,7,1555735577,2003-01-01
LIABILITY,8,134223455,2003-01-01
LIABILITY,9,18974787655,2003-01-01
LIABILITY,10,1218924886,2003-01-01
LIABILITY,11,202379104,2003-01-01
LIABILITY,12,463702260,2003-01-01
LIABILITY,13,1354956815,2003-01-01
ASSET,1,1607143462,2003-02-01
ASSET,2,5964488700,2003-02-01
ASSET,3,2930915474,2003-02-01
ASSET,4,771327771,2003-02-01
ASSET,5,2538468209,2003-02-01
ASSET,6,228366075,2003-02-01
ASSET,7,6782179876,2003-02-01
ASSET,8,10448587373,2003-02-01
ASSET,9,1416814874,2003-02-01
ASSET,10,1236266442,2003-02-01
LIABILITY,1,8068871039,2003-02-01
LIABILITY,2,1626271846,2003-02-01
LIABILITY,3,0,2003-02-01
LIABILITY,4,525211475,2003-02-01
LIABILITY,5,658180340,2003-02-01
LIABILITY,6,324454239,2003-02-01
LIABILITY,7,770313020,2003-02-01
LIABILITY,8,134223455,2003-02-01
LIABILITY,9,18554364364,2003-02-01
LIABILITY,10,1245658330,2003-02-01
LIABILITY,11,202379194,2003-02-01
LIABILITY,12,459674139,2003-02-01
LIABILITY,13,1354956815,2003-02-01
ASSET,1,1513279511,2003-03-01
ASSET,2,3720309176,2003-03-01
ASSET,3,2451005396,2003-03-01
ASSET,4,829809034,2003-03-01
ASSET,5,2177687505,2003-03-01
ASSET,6,260706343,2003-03-01
ASSET,7,9065978801,2003-03-01
ASSET,8,10432883353,2003-03-01
ASSET,9,1421652072,2003-03-01
ASSET,10,1467095494,2003-03-01
LIABILITY,1,8239585918,2003-03-01
LIABILITY,2,2586266015,2003-03-01
LIABILITY,3,0,2003-03-01
LIABILITY,4,567814069,2003-03-01
LIABILITY,5,645794376,2003-03-01
LIABILITY,6,310791300,2003-03-01
LIABILITY,7,718658369,2003-03-01
LIABILITY,8,130559338,2003-03-01
LIABILITY,9,17096789120,2003-03-01
LIABILITY,10,1153030784,2003-03-01
LIABILITY,11,202379194,2003-03-01
LIABILITY,12,333781387,2003-03-01
LIABILITY,13,1354956815,2003-03-01
ASSET,1,1513063707,2003-04-01
ASSET,2,3843293633,2003-04-01
ASSET,3,2357943721,2003-04-01
ASSET,4,398368904,2003-04-01
ASSET,5,1046945237,2003-04-01
ASSET,6,103313901,2003-04-01
ASSET,7,9699941962,2003-04-01
ASSET,8,10382902265,2003-04-01
ASSET,9,1416814874,2003-04-01
ASSET,10,1530749448,2003-04-01
LIABILITY,1,8544854399,2003-04-01
LIABILITY,2,1673025000,2003-04-01
LIABILITY,3,0,2003-04-01
LIABILITY,4,569034192,2003-04-01
LIABILITY,5,640572531,2003-04-01
LIABILITY,6,308225361,2003-04-01
LIABILITY,7,718658369,2003-04-01
LIABILITY,8,130559338,2003-04-01
LIABILITY,9,16758275138,2003-04-01
LIABILITY,10,1061655296,2003-04-01
LIABILITY,11,202196829,2003-04-01
LIABILITY,12,331324384,2003-04-01
LIABILITY,13,1354956815,2003-04-01
ASSET,1,1484833893,2003-06-01
ASSET,2,3701865638,2003-06-01
ASSET,3,2202805862,2003-06-01
ASSET,4,153706246,2003-06-01
ASSET,5,2056507800,2003-06-01
ASSET,6,172861494,2003-06-01
ASSET,7,9954470087,2003-06-01
ASSET,8,9931396659,2003-06-01
ASSET,9,1421355631,2003-06-01
ASSET,10,1375266833,2003-06-01
LIABILITY,1,8830453758,2003-06-01
LIABILITY,2,1938625446,2003-06-01
LIABILITY,3,16188500,2003-06-01
LIABILITY,4,551702086,2003-06-01
LIABILITY,5,643518151,2003-06-01
LIABILITY,6,276527755,2003-06-01
LIABILITY,7,545531610,2003-06-01
LIABILITY,8,126924821,2003-06-01
LIABILITY,9,16681127780,2003-06-01
LIABILITY,10,906732597,2003-06-01
LIABILITY,11,202105571,2003-06-01
LIABILITY,12,380675253,2003-06-01
