column,line,subline,item,amount,month
ASSET,10,2,Other financial assets,29260593,2010-01-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-01-01
ASSET,10,3,Sundry,1496303289,2010-01-01
LIABILITY,13,5,Other special reserves,1063137,2010-01-01
LIABILITY,1,NA,Banknotes in circulation,20313033300,2010-02-01
ASSET,2,1,Receivables from the IMF,947559447,2010-02-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),5095470802,2010-02-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,107138372,2010-02-01
LIABILITY,2,2,Deposit facility,2790000000,2010-02-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2010-02-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,331118997,2010-02-01
LIABILITY,4,1,General government,5428705106,2010-02-01
ASSET,4,1,Balances with banks security investments and loans,206026,2010-02-01
LIABILITY,4,2,Other liabilities,79558036,2010-02-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-02-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,720160244,2010-02-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,61805515,2010-02-01
ASSET,5,1,Main refinancing operations,14033800000,2010-02-01
ASSET,5,2,Longer-term refinancing operations,45720200000,2010-02-01
LIABILITY,7,1,Deposits and other liabilities,84505484,2010-02-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,71905805,2010-02-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-02-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,851675401,2010-02-01
ASSET,7,1,Securities held for monetary policy purposes,845092950,2010-02-01
ASSET,7,2,Other securities of euro area residents denominated in euro,17455249684,2010-02-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2010-02-01
ASSET,8,NA,General government long term debt denominated in euro,7294205864,2010-02-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0,2010-02-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),53455344029,2010-02-01
LIABILITY,10,NA,Other liabilities,827978863,2010-02-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-02-01
LIABILITY,11,NA,Provisions,1960287124,2010-02-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-02-01
LIABILITY,12,NA,Revaluation accounts,1931521058,2010-02-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,48911975,2010-02-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-02-01
LIABILITY,13,1,Capital,111243362,2010-02-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-02-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-02-01
ASSET,10,1,Tangible and intangible fixed assets,763748735,2010-02-01
ASSET,10,2,Other financial assets,29260593,2010-02-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-02-01
ASSET,10,3,Sundry,1554244795,2010-02-01
LIABILITY,13,5,Other special reserves,1063137,2010-02-01
ASSET,1,NA,Gold and gold receivables,3904795365,2010-03-01
LIABILITY,1,NA,Banknotes in circulation,20643802200,2010-03-01
ASSET,2,1,Receivables from the IMF,980541658,2010-03-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),3514071965,2010-03-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,124640178,2010-03-01
LIABILITY,2,2,Deposit facility,1127000000,2010-03-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,381040352,2010-03-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2010-03-01
ASSET,4,1,Balances with banks security investments and loans,214535,2010-03-01
LIABILITY,4,1,General government,4711533455,2010-03-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-03-01
LIABILITY,4,2,Other liabilities,83808480,2010-03-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,743802492,2010-03-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,27088954,2010-03-01
ASSET,5,1,Main refinancing operations,20902000000,2010-03-01
ASSET,5,2,Longer-term refinancing operations,44601700000,2010-03-01
ASSET,5,3,Marginal lending facility,1491171950,2010-03-01
LIABILITY,7,1,Deposits and other liabilities,84345314,2010-03-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,89797761,2010-03-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-03-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,881321084,2010-03-01
ASSET,7,1,Securities held for monetary policy purposes,913499885,2010-03-01
ASSET,7,2,Other securities of euro area residents denominated in euro,16657714565,2010-03-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2010-03-01
ASSET,8,NA,General government long term debt denominated in euro,7320091918,2010-03-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,2737501430,2010-03-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),60919195594,2010-03-01
LIABILITY,10,NA,Other liabilities,910865960,2010-03-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-03-01
LIABILITY,11,NA,Provisions,1943206031,2010-03-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-03-01
LIABILITY,12,NA,Revaluation accounts,2204397890,2010-03-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2010-03-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-03-01
LIABILITY,13,1,Capital,111243362,2010-03-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-03-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-03-01
ASSET,10,1,Tangible and intangible fixed assets,763559797,2010-03-01
ASSET,10,2,Other financial assets,29260593,2010-03-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-03-01
ASSET,10,3,Sundry,1610052824,2010-03-01
LIABILITY,13,5,Other special reserves,1198187,2010-03-01
ASSET,1,NA,Gold and gold receivables,3905213172,2010-04-01
LIABILITY,1,NA,Banknotes in circulation,20671955500,2010-04-01
ASSET,2,1,Receivables from the IMF,980541658,2010-04-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),3940776129,2010-04-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,95872879,2010-04-01
LIABILITY,2,2,Deposit facility,9000000,2010-04-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,319374479,2010-04-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2010-04-01
ASSET,4,1,Balances with banks security investments and loans,213301,2010-04-01
LIABILITY,4,1,General government,529697522,2010-04-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-04-01
LIABILITY,4,2,Other liabilities,46083915,2010-04-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,743141584,2010-04-01
