column,line,subline,item,amount,month
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-01-01
ASSET,4,1,Balances with banks security investments and loans,113867,2012-01-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-01-01
LIABILITY,4,1,General government,3678710763,2012-01-01
LIABILITY,4,2,Other liabilities,2138627216,2012-01-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1041805828,2012-01-01
ASSET,5,1,Main refinancing operations,14702500000,2012-01-01
ASSET,5,2,Longer-term refinancing operations,58482000000,2012-01-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,24646356,2012-01-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-01-01
ASSET,5,4,Structural reverse operations,0,2012-01-01
ASSET,5,5,Marginal lending facility,180500000,2012-01-01
ASSET,5,6,Credits related to margin calls,0,2012-01-01
LIABILITY,7,1,Deposits and other liabilities,2268,2012-01-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-01-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,70274566,2012-01-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,928426952,2012-01-01
ASSET,7,1,Securities held for monetary policy purposes,7909151099,2012-01-01
ASSET,7,2,Other securities of euro area residents denominated in euro,13241085112,2012-01-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-01-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,18126038245,2012-01-01
ASSET,8,NA,General government long term debt denominated in euro,6659874462,2012-01-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),107426562178,2012-01-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2012-01-01
LIABILITY,10,NA,Other liabilities,1258554287,2012-01-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-01-01
LIABILITY,11,NA,Provisions,3950903761,2012-01-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-01-01
LIABILITY,12,NA,Revaluation accounts,4049716285,2012-01-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-01-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-01-01
LIABILITY,13,1,Capital,111243362,2012-01-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-01-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-01-01
ASSET,10,1,Tangible and intangible fixed assets,826107463,2012-01-01
ASSET,10,2,Other financial assets,29104193,2012-01-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-01-01
ASSET,10,3,Sundry,57545266791,2012-01-01
LIABILITY,13,5,Other special reserves,1209744,2012-01-01
LIABILITY,1,NA,Banknotes in circulation,22407393045,2012-02-01
ASSET,2,1,Receivables from the IMF,942768137,2012-02-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),2774270206,2012-02-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,32718239,2012-02-01
LIABILITY,2,2,Deposit facility,9500000,2012-02-01
LIABILITY,2,3,Fixed-term deposits,0,2012-02-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,1270341472,2012-02-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-02-01
LIABILITY,2,5,Deposits related to margin calls,27939069000,2012-02-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-02-01
ASSET,4,1,Balances with banks security investments and loans,113870,2012-02-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-02-01
LIABILITY,4,1,General government,3820217622,2012-02-01
LIABILITY,4,2,Other liabilities,2074224993,2012-02-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1030682556,2012-02-01
ASSET,5,1,Main refinancing operations,1540000000,2012-02-01
ASSET,5,2,Longer-term refinancing operations,47652000000,2012-02-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,29103610,2012-02-01
ASSET,5,3,Fine-tuning reverse operations,650000000,2012-02-01
ASSET,5,4,Structural reverse operations,0,2012-02-01
ASSET,5,5,Marginal lending facility,0,2012-02-01
ASSET,5,6,Credits related to margin calls,0,2012-02-01
LIABILITY,7,1,Deposits and other liabilities,2268,2012-02-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-02-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,69762191,2012-02-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,928426952,2012-02-01
ASSET,7,1,Securities held for monetary policy purposes,7906151099,2012-02-01
ASSET,7,2,Other securities of euro area residents denominated in euro,13573313381,2012-02-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-02-01
ASSET,8,NA,General government long term debt denominated in euro,6659874462,2012-02-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,19364921530,2012-02-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),107267018563,2012-02-01
LIABILITY,10,NA,Other liabilities,1435521907,2012-02-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-02-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-02-01
LIABILITY,11,NA,Provisions,3950504345,2012-02-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-02-01
LIABILITY,12,NA,Revaluation accounts,4049716285,2012-02-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-02-01
LIABILITY,13,1,Capital,111243362,2012-02-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-02-01
ASSET,10,1,Tangible and intangible fixed assets,825223838,2012-02-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-02-01
ASSET,10,2,Other financial assets,29104193,2012-02-01
ASSET,10,3,Sundry,109351151616,2012-02-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-02-01
LIABILITY,13,5,Other special reserves,1210354,2012-02-01
LIABILITY,1,NA,Banknotes in circulation,22475106580,2012-03-01
ASSET,2,1,Receivables from the IMF,921496794,2012-03-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1223641561,2012-03-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,51145577,2012-03-01
LIABILITY,2,2,Deposit facility,156700000,2012-03-01
LIABILITY,2,3,Fixed-term deposits,0,2012-03-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,393038185,2012-03-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-03-01
LIABILITY,2,5,Deposits related to margin calls,151800000,2012-03-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-03-01
ASSET,4,1,Balances with banks security investments and loans,113870,2012-03-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-03-01
LIABILITY,4,1,General government,4510602896,2012-03-01
LIABILITY,4,2,Other liabilities,1920845015,2012-03-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,999252041,2012-03-01
ASSET,5,1,Main refinancing operations,41933000000,2012-03-01
ASSET,5,2,Longer-term refinancing operations,36810000000,2012-03-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,34789593,2012-03-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-03-01
ASSET,5,4,Structural reverse operations,0,2012-03-01
ASSET,5,5,Marginal lending facility,135000000,2012-03-01
ASSET,5,6,Credits related to margin calls,0,2012-03-01
LIABILITY,7,1,Deposits and other liabilities,2197,2012-03-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-03-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,71228077,2012-03-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,908081411,2012-03-01
ASSET,7,1,Securities held for monetary policy purposes,7297257260,2012-03-01
ASSET,7,2,Other securities of euro area residents denominated in euro,13353301246,2012-03-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-03-01
ASSET,8,NA,General government long term debt denominated in euro,6637511368,2012-03-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,17655745820,2012-03-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),103735616784,2012-03-01
LIABILITY,9,4,Other liabilities within the Eurosystem (net),0,2012-03-01
LIABILITY,10,NA,Other liabilities,1660231387,2012-03-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-03-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-03-01
LIABILITY,11,NA,Provisions,3949524787,2012-03-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-03-01
LIABILITY,12,NA,Revaluation accounts,4170333978,2012-03-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-03-01
LIABILITY,13,1,Capital,111243362,2012-03-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-03-01
ASSET,10,1,Tangible and intangible fixed assets,824125713,2012-03-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-03-01
ASSET,10,2,Other financial assets,29104193,2012-03-01
ASSET,10,3,Sundry,48388604148,2012-03-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-03-01
LIABILITY,13,5,Other special reserves,1210354,2012-03-01
LIABILITY,1,NA,Banknotes in circulation,22576147265,2012-04-01
ASSET,2,1,Receivables from the IMF,921496794,2012-04-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1106846060,2012-04-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,33158088,2012-04-01
LIABILITY,2,2,Deposit facility,1263900000,2012-04-01
LIABILITY,2,3,Fixed-term deposits,0,2012-04-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,379637890,2012-04-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-04-01
LIABILITY,2,5,Deposits related to margin calls,544300000,2012-04-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-04-01
ASSET,4,1,Balances with banks security investments and loans,113872,2012-04-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-04-01
LIABILITY,4,1,General government,5051935182,2012-04-01
LIABILITY,4,2,Other liabilities,1657362785,2012-04-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1019159869,2012-04-01
ASSET,5,1,Main refinancing operations,26697500000,2012-04-01
ASSET,5,2,Longer-term refinancing operations,35325000000,2012-04-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,34368142,2012-04-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-04-01
ASSET,5,4,Structural reverse operations,0,2012-04-01
ASSET,5,5,Marginal lending facility,0,2012-04-01
ASSET,5,6,Credits related to margin calls,0,2012-04-01
LIABILITY,7,1,Deposits and other liabilities,2197,2012-04-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-04-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,59231405479,2012-04-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,908081411,2012-04-01
ASSET,7,1,Securities held for monetary policy purposes,7291857260,2012-04-01
ASSET,7,2,Other securities of euro area residents denominated in euro,13182597765,2012-04-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-04-01
ASSET,8,NA,General government long term debt denominated in euro,6637511368,2012-04-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,17399197685,2012-04-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),98046819343,2012-04-01
LIABILITY,10,NA,Other liabilities,1673211483,2012-04-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-04-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-04-01
LIABILITY,11,NA,Provisions,3949701851,2012-04-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-04-01
LIABILITY,12,NA,Revaluation accounts,4170333978,2012-04-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-04-01
LIABILITY,13,1,Capital,111243362,2012-04-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-04-01
ASSET,10,1,Tangible and intangible fixed assets,823877056,2012-04-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-04-01
ASSET,10,2,Other financial assets,29104193,2012-04-01
ASSET,10,3,Sundry,2140028796,2012-04-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-04-01
LIABILITY,13,5,Other special reserves,1210354,2012-04-01
LIABILITY,1,NA,Banknotes in circulation,22812589185,2012-05-01
ASSET,2,1,Receivables from the IMF,921571156,2012-05-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1590541772,2012-05-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,45900697,2012-05-01
LIABILITY,2,2,Deposit facility,335400000,2012-05-01
LIABILITY,2,3,Fixed-term deposits,0,2012-05-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,365173286,2012-05-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-05-01
LIABILITY,2,5,Deposits related to margin calls,303630000,2012-05-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-05-01
ASSET,4,1,Balances with banks security investments and loans,113872,2012-05-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-05-01
LIABILITY,4,1,General government,4348386038,2012-05-01
LIABILITY,4,2,Other liabilities,1337161497,2012-05-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1029804739,2012-05-01
ASSET,5,1,Main refinancing operations,231100000,2012-05-01
ASSET,5,2,Longer-term refinancing operations,3160000000,2012-05-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,37707360,2012-05-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-05-01
ASSET,5,4,Structural reverse operations,0,2012-05-01
ASSET,5,5,Marginal lending facility,55845000,2012-05-01
ASSET,5,6,Credits related to margin calls,0,2012-05-01
LIABILITY,7,1,Deposits and other liabilities,2197,2012-05-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-05-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,124084666203,2012-05-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,908081411,2012-05-01
ASSET,7,1,Securities held for monetary policy purposes,7203857260,2012-05-01
ASSET,7,2,Other securities of euro area residents denominated in euro,12455425734,2012-05-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-05-01
ASSET,8,NA,General government long term debt denominated in euro,6637511368,2012-05-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,20454530420,2012-05-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),101554508805,2012-05-01
LIABILITY,10,NA,Other liabilities,1909378573,2012-05-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-05-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-05-01
LIABILITY,11,NA,Provisions,3949907592,2012-05-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-05-01
LIABILITY,12,NA,Revaluation accounts,4170333978,2012-05-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-05-01
LIABILITY,13,1,Capital,111243362,2012-05-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-05-01
ASSET,10,1,Tangible and intangible fixed assets,823520989,2012-05-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-05-01
ASSET,10,2,Other financial assets,29104193,2012-05-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-05-01
ASSET,10,3,Sundry,2020796721,2012-05-01
LIABILITY,13,5,Other special reserves,1256175,2012-05-01
LIABILITY,1,NA,Banknotes in circulation,23089772900,2012-06-01
ASSET,2,1,Receivables from the IMF,957223779,2012-06-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1728573879,2012-06-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,49846389,2012-06-01
LIABILITY,2,2,Deposit facility,830300000,2012-06-01
LIABILITY,2,3,Fixed-term deposits,0,2012-06-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,579645467,2012-06-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-06-01
LIABILITY,2,5,Deposits related to margin calls,773170000,2012-06-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-06-01
ASSET,4,1,Balances with banks security investments and loans,113872,2012-06-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-06-01
LIABILITY,4,1,General government,4249189482,2012-06-01
LIABILITY,4,2,Other liabilities,1337360213,2012-06-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1058022595,2012-06-01
ASSET,5,1,Main refinancing operations,70530000000,2012-06-01
ASSET,5,2,Longer-term refinancing operations,3130000000,2012-06-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,45545500,2012-06-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-06-01
ASSET,5,4,Structural reverse operations,0,2012-06-01
ASSET,5,5,Marginal lending facility,0,2012-06-01
ASSET,5,6,Credits related to margin calls,0,2012-06-01
LIABILITY,7,1,Deposits and other liabilities,2331,2012-06-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-06-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,61944565743,2012-06-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,943213103,2012-06-01
ASSET,7,1,Securities held for monetary policy purposes,7182390705,2012-06-01
ASSET,7,2,Other securities of euro area residents denominated in euro,12497682033,2012-06-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-06-01
ASSET,8,NA,General government long term debt denominated in euro,6205596665,2012-06-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,22279953665,2012-06-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),105987462998,2012-06-01
LIABILITY,10,NA,Other liabilities,2106733853,2012-06-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-06-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-06-01
LIABILITY,11,NA,Provisions,3950111908,2012-06-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-06-01
LIABILITY,12,NA,Revaluation accounts,4176040605,2012-06-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-06-01
LIABILITY,13,1,Capital,111243362,2012-06-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-06-01
ASSET,10,1,Tangible and intangible fixed assets,823454504,2012-06-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-06-01
ASSET,10,2,Other financial assets,29775168,2012-06-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-06-01
ASSET,10,3,Sundry,1903747418,2012-06-01
LIABILITY,13,5,Other special reserves,1259639,2012-06-01
LIABILITY,1,NA,Banknotes in circulation,23196316440,2012-07-01
ASSET,2,1,Receivables from the IMF,957223779,2012-07-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1789558489,2012-07-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,77299112,2012-07-01
LIABILITY,2,2,Deposit facility,1000000000,2012-07-01
LIABILITY,2,3,Fixed-term deposits,0,2012-07-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,515850587,2012-07-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-07-01
LIABILITY,2,5,Deposits related to margin calls,862650000,2012-07-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2012-07-01
ASSET,4,1,Balances with banks security investments and loans,23872,2012-07-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-07-01
LIABILITY,4,1,General government,3687669488,2012-07-01
LIABILITY,4,2,Other liabilities,1324934996,2012-07-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1043083027,2012-07-01
ASSET,5,1,Main refinancing operations,21388000000,2012-07-01
ASSET,5,2,Longer-term refinancing operations,2610000000,2012-07-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,42324598,2012-07-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-07-01
ASSET,5,4,Structural reverse operations,0,2012-07-01
ASSET,5,5,Marginal lending facility,0,2012-07-01
ASSET,5,6,Credits related to margin calls,0,2012-07-01
LIABILITY,7,1,Deposits and other liabilities,2331,2012-07-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-07-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,106315345333,2012-07-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,943213103,2012-07-01
ASSET,7,1,Securities held for monetary policy purposes,7182401109,2012-07-01
ASSET,7,2,Other securities of euro area residents denominated in euro,13128256134,2012-07-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-07-01
ASSET,8,NA,General government long term debt denominated in euro,6205596665,2012-07-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,18863284555,2012-07-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),105044042458,2012-07-01
LIABILITY,10,NA,Other liabilities,1933459303,2012-07-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-07-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-07-01
LIABILITY,11,NA,Provisions,3913316613,2012-07-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-07-01
LIABILITY,12,NA,Revaluation accounts,4176040605,2012-07-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-07-01
LIABILITY,13,1,Capital,111243362,2012-07-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-07-01
ASSET,10,1,Tangible and intangible fixed assets,824089411,2012-07-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-07-01
ASSET,10,2,Other financial assets,29775168,2012-07-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-07-01
ASSET,10,3,Sundry,1863799181,2012-07-01
LIABILITY,13,5,Other special reserves,1259639,2012-07-01
LIABILITY,1,NA,Banknotes in circulation,23159372390,2012-08-01
ASSET,2,1,Receivables from the IMF,957485246,2012-08-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1034650552,2012-08-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,61583306,2012-08-01
LIABILITY,2,2,Deposit facility,310000000,2012-08-01
LIABILITY,2,3,Fixed-term deposits,0,2012-08-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,486214932,2012-08-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-08-01
LIABILITY,2,5,Deposits related to margin calls,823750000,2012-08-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,95000000,2012-08-01
ASSET,4,1,Balances with banks security investments and loans,23872,2012-08-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-08-01
LIABILITY,4,1,General government,4657352539,2012-08-01
LIABILITY,4,2,Other liabilities,940475823,2012-08-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1071265492,2012-08-01
ASSET,5,1,Main refinancing operations,28264400000,2012-08-01
ASSET,5,2,Longer-term refinancing operations,2600000000,2012-08-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,40448822,2012-08-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-08-01
ASSET,5,4,Structural reverse operations,0,2012-08-01
ASSET,5,5,Marginal lending facility,0,2012-08-01
ASSET,5,6,Credits related to margin calls,0,2012-08-01
LIABILITY,7,1,Deposits and other liabilities,2331,2012-08-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-08-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,100830133421,2012-08-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,943213103,2012-08-01
ASSET,7,1,Securities held for monetary policy purposes,6995901109,2012-08-01
ASSET,7,2,Other securities of euro area residents denominated in euro,12947119354,2012-08-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-08-01
ASSET,8,NA,General government long term debt denominated in euro,6205596665,2012-08-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,17549790755,2012-08-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),107876060073,2012-08-01
LIABILITY,10,NA,Other liabilities,2187130386,2012-08-01
ASSET,9,1,Participating interest in the ECB,500888380,2012-08-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2012-08-01
LIABILITY,11,NA,Provisions,3913767833,2012-08-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2012-08-01
LIABILITY,12,NA,Revaluation accounts,4176040605,2012-08-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2012-08-01
LIABILITY,13,1,Capital,111243362,2012-08-01
LIABILITY,13,2,Ordinary reserve,111243362,2012-08-01
ASSET,10,1,Tangible and intangible fixed assets,823261403,2012-08-01
LIABILITY,13,3,Extraordinary reserve,84500000,2012-08-01
ASSET,10,2,Other financial assets,29747410,2012-08-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,507247856,2012-08-01
ASSET,10,3,Sundry,1853259978,2012-08-01
LIABILITY,13,5,Other special reserves,1259693,2012-08-01
LIABILITY,1,NA,Banknotes in circulation,23057634160,2012-09-01
ASSET,2,1,Receivables from the IMF,947554934,2012-09-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),1096665952,2012-09-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,74101837,2012-09-01
LIABILITY,2,2,Deposit facility,988000000,2012-09-01
LIABILITY,2,3,Fixed-term deposits,0,2012-09-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,445882189,2012-09-01
LIABILITY,2,4,Fine-tuning reverse operations,0,2012-09-01
LIABILITY,2,5,Deposits related to margin calls,500700000,2012-09-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,95000000,2012-09-01
ASSET,4,1,Balances with banks security investments and loans,23873,2012-09-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2012-09-01
LIABILITY,4,1,General government,4493985383,2012-09-01
LIABILITY,4,2,Other liabilities,937972297,2012-09-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,1040974166,2012-09-01
ASSET,5,1,Main refinancing operations,28027100000,2012-09-01
ASSET,5,2,Longer-term refinancing operations,2232000000,2012-09-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,43164193,2012-09-01
ASSET,5,3,Fine-tuning reverse operations,0,2012-09-01
ASSET,5,4,Structural reverse operations,0,2012-09-01
ASSET,5,5,Marginal lending facility,0,2012-09-01
ASSET,5,6,Credits related to margin calls,0,2012-09-01
LIABILITY,7,1,Deposits and other liabilities,2270,2012-09-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2012-09-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,100640211055,2012-09-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,933433801,2012-09-01
ASSET,7,1,Securities held for monetary policy purposes,7009471407,2012-09-01
ASSET,7,2,Other securities of euro area residents denominated in euro,13014128526,2012-09-01
LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0,2012-09-01
