accounting_period,column,line,subline,item,amount
2002-02-28,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-02-28,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,147500677
2002-02-28,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-02-28,LIABILITY,9,2,Liabilities related to TARGET accounts (net),12495627636
2002-02-28,LIABILITY,9,3,Other liabilities within the Eurosystem,1064108685
2002-02-28,LIABILITY,10,NA,Other liabilities,1853968073
2002-02-28,LIABILITY,11,NA,Provisions,188944310
2002-02-28,LIABILITY,12,NA,Revaluation accounts,391555848
2002-02-28,LIABILITY,13,1,Capital,49844397
2002-02-28,LIABILITY,13,2,Regular reserve,49844397
2002-02-28,LIABILITY,13,3,Special reserves,2073825560
2002-02-28,LIABILITY,13,4,Difference from revaluation of tangible fixed assets (Law 2065/92),10804114
2002-03-31,ASSET,1,NA,Gold and gold receivables,1685266228
2002-03-31,ASSET,2,1,Receivables from the IMF,451248854
2002-03-31,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",6760253230
2002-03-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4447372720
2002-03-31,ASSET,4,1,"Balances with banks, security investments and loans",38842713
2002-03-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-03-31,ASSET,5,1,Main refinancing operations,1530589155
2002-03-31,ASSET,5,2,Longer-term refinancing operations,0
2002-03-31,ASSET,5,3,Fine-tuning reverse operations,0
2002-03-31,ASSET,5,4,Structural reverse operations,0
2002-03-31,ASSET,5,5,Marginal lending facility,0
2002-03-31,ASSET,5,6,Credits related to margin calls,0
2002-03-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,169237342
2002-03-31,ASSET,7,NA,Securities of euro area residents denominated in euro,4273172174
2002-03-31,ASSET,8,NA,General government debt denominated in euro,11111200094
2002-03-31,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-03-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-03-31,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-03-31,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-03-31,ASSET,9,5,Other claims within the Eurosystem,0
2002-03-31,ASSET,10,1,Premises and equipment,127317135
2002-03-31,ASSET,10,2,Sundry items,1429514313
2002-03-31,LIABILITY,1,NA,Banknotes in circulation,6641967889
2002-03-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),3206224155
2002-03-31,LIABILITY,2,2,Deposit facility,270000
2002-03-31,LIABILITY,2,3,Fixed-term deposits,0
2002-03-31,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-03-31,LIABILITY,2,5,Deposits related to margin calls,0
2002-03-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,2206158447
2002-03-31,LIABILITY,4,1,General government,696100734
2002-03-31,LIABILITY,4,2,Other liabilities,14789397
2002-03-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,792856244
2002-03-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,397723599
2002-03-31,LIABILITY,7,1,"Deposits, balances and other liabilities",1671157501
2002-03-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-03-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,148036314
2002-03-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-03-31,LIABILITY,9,2,Liabilities related to TARGET accounts (net),12296983899
2002-03-31,LIABILITY,9,3,Other liabilities within the Eurosystem,844991600
2002-03-31,LIABILITY,10,NA,Other liabilities,1603955674
2002-03-31,LIABILITY,11,NA,Provisions,188016441
2002-03-31,LIABILITY,12,NA,Revaluation accounts,548012332
2002-03-31,LIABILITY,13,1,Capital,49844397
2002-03-31,LIABILITY,13,2,Regular reserve,49844397
2002-03-31,LIABILITY,13,3,Special reserves,2073091698
2002-03-31,LIABILITY,13,4,Difference from revaluation of tangible fixed assets (Law 2065/92),10804114
2002-04-30,ASSET,1,NA,Gold and gold receivables,1685572360
2002-04-30,ASSET,2,1,Receivables from the IMF,425925550
2002-04-30,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",6764965168
2002-04-30,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4550548961
2002-04-30,ASSET,4,1,"Balances with banks, security investments and loans",30442388
2002-04-30,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-04-30,ASSET,5,1,Main refinancing operations,847830070
2002-04-30,ASSET,5,2,Longer-term refinancing operations,0
2002-04-30,ASSET,5,3,Fine-tuning reverse operations,0
2002-04-30,ASSET,5,4,Structural reverse operations,0
2002-04-30,ASSET,5,5,Marginal lending facility,0
2002-04-30,ASSET,5,6,Credits related to margin calls,0
2002-04-30,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,160558166
