accounting_period,column,line,subline,item,amount
2008-09-30,LIABILITY,9,3,Net liabilities related to the allocation of euro banknotes within the Eurosystem,626757750
2008-09-30,LIABILITY,10,NA,Other liabilities,988075566
2008-09-30,LIABILITY,11,NA,Provisions,1173037587
2008-09-30,LIABILITY,12,NA,Revaluation accounts,1252513287
2008-09-30,LIABILITY,13,1,Capital,111243362
2008-09-30,LIABILITY,13,2,Ordinary reserve,88994690
2008-09-30,LIABILITY,13,3,Extraordinary reserve,55000000
2008-09-30,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2008-09-30,LIABILITY,13,5,Other special reserves,277366
2008-10-31,ASSET,1,NA,Gold and gold receivables,2953534092
2008-10-31,ASSET,2,1,Receivables from the IMF,87065144
2008-10-31,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",100127050
2008-10-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,2830144867
2008-10-31,ASSET,4,1,"Balances with banks, security investments and loans",1042366760
2008-10-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2008-10-31,ASSET,5,1,Main refinancing operations,10534500000
2008-10-31,ASSET,5,2,Longer-term refinancing operations,10008662700
2008-10-31,ASSET,5,3,Marginal lending facility,24700000
2008-10-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,81886836
2008-10-31,ASSET,7,NA,Securities of euro area residents denominated in euro,6740968620
2008-10-31,ASSET,8,NA,General government long term debt denominated in euro,7768735648
2008-10-31,ASSET,9,1,Participating interest in the ECB,390454406
2008-10-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1046595329
2008-10-31,ASSET,9,3,Net claims related to transactions with the ESCB (TARGET),0
2008-10-31,ASSET,9,4,Net claims related to the allocation of euro banknotes within the Eurosystem,0
2008-10-31,ASSET,10,1,Tangible and intangible fixed assets,814317832
2008-10-31,ASSET,10,2,Other financial assets,7391307503
2008-10-31,ASSET,10,3,Sundry,1469334798
2008-10-31,LIABILITY,1,NA,Banknotes in circulation,17446700940
2008-10-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),4531706163
2008-10-31,LIABILITY,2,2,Deposit facility,970000000
2008-10-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-10-31,LIABILITY,4,1,General government,1867187655
2008-10-31,LIABILITY,4,2,Other liabilities,46442696
2008-10-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,842295373
2008-10-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,108530791
2008-10-31,LIABILITY,7,1,Deposits and other liabilities,94956220
2008-10-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2008-10-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,112877331
2008-10-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2008-10-31,LIABILITY,9,2,Net liabilities related to transactions with the ESCB (TARGET),21272280057
2008-10-31,LIABILITY,9,3,Net liabilities related to the allocation of euro banknotes within the Eurosystem,1651501095
2008-10-31,LIABILITY,10,NA,Other liabilities,1063750036
2008-10-31,LIABILITY,11,NA,Provisions,1173014321
2008-10-31,LIABILITY,12,NA,Revaluation accounts,1262767494
2008-10-31,LIABILITY,13,1,Capital,111243362
2008-10-31,LIABILITY,13,2,Ordinary reserve,88994690
2008-10-31,LIABILITY,13,3,Extraordinary reserve,55000000
2008-10-31,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2008-10-31,LIABILITY,13,5,Other special reserves,277366
2008-11-30,ASSET,1,NA,Gold and gold receivables,2954081689
2008-11-30,ASSET,2,1,Receivables from the IMF,141048347
2008-11-30,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",99736371
2008-11-30,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,3350674996
2008-11-30,ASSET,4,1,"Balances with banks, security investments and loans",1045253582
2008-11-30,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2008-11-30,ASSET,5,1,Main refinancing operations,19053500000
2008-11-30,ASSET,5,2,Longer-term refinancing operations,9593762700
2008-11-30,ASSET,5,3,Marginal lending facility,11000000
2008-11-30,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,73750313
2008-11-30,ASSET,7,NA,Securities of euro area residents denominated in euro,7276182582
2008-11-30,ASSET,8,NA,General government long term debt denominated in euro,7817725667
2008-11-30,ASSET,9,1,Participating interest in the ECB,390454406
2008-11-30,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1046595329
2008-11-30,ASSET,9,3,Net claims related to transactions with the ESCB (TARGET),0
2008-11-30,ASSET,9,4,Net claims related to the allocation of euro banknotes within the Eurosystem,0
2008-11-30,ASSET,10,1,Tangible and intangible fixed assets,813713123
2008-11-30,ASSET,10,2,Other financial assets,7430441346
2008-11-30,ASSET,10,3,Sundry,1442250972
2008-11-30,LIABILITY,1,NA,Banknotes in circulation,17536669920
2008-11-30,LIABILITY,2,1,Current accounts (covering the minimum reserve system),5148757023
2008-11-30,LIABILITY,2,2,Deposit facility,1417100000
2008-11-30,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-11-30,LIABILITY,4,1,General government,5453296127
2008-11-30,LIABILITY,4,2,Other liabilities,44674463
2008-11-30,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,844640516
2008-11-30,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,113468749
2008-11-30,LIABILITY,7,1,Deposits and other liabilities,94956220
2008-11-30,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2008-11-30,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,112877331
2008-11-30,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2008-11-30,LIABILITY,9,2,Net liabilities related to transactions with the ESCB (TARGET),26017874516
2008-11-30,LIABILITY,9,3,Net liabilities related to the allocation of euro banknotes within the Eurosystem,1326036775
2008-11-30,LIABILITY,10,NA,Other liabilities,1146534981
2008-11-30,LIABILITY,11,NA,Provisions,1172991296
2008-11-30,LIABILITY,12,NA,Revaluation accounts,1269602093
2008-11-30,LIABILITY,13,1,Capital,111243362
2008-11-30,LIABILITY,13,2,Ordinary reserve,88994690
2008-11-30,LIABILITY,13,3,Extraordinary reserve,55000000
2008-11-30,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2008-11-30,LIABILITY,13,5,Other special reserves,277366
2008-12-31,ASSET,1,NA,Gold and gold receivables,2924754323
2008-12-31,ASSET,2,1,Receivables from the IMF,138800294
2008-12-31,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",162802249
2008-12-31,ASSET,3,1,General government,265422923
2008-12-31,ASSET,3,2,Other claims,2208117455
2008-12-31,ASSET,4,1,"Balances with banks, security investments and loans",830949273
2008-12-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2008-12-31,ASSET,5,1,Main refinancing operations,22765300000
2008-12-31,ASSET,5,2,Longer-term refinancing operations,15584000000
2008-12-31,ASSET,5,3,Μarginal lending facility,5600000
2008-12-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,76778839
2008-12-31,ASSET,7,NA,Securities of euro area residents denominated in euro,14529148987
2008-12-31,ASSET,8,NA,General government long term debt denominated in euro,7777980635
2008-12-31,ASSET,9,1,Participating interest in the ECB,390454407
2008-12-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1046595328
2008-12-31,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2008-12-31,ASSET,9,4,Claims related to the allocation of euro banknotes within the Eurosystem (net),0
2008-12-31,ASSET,9,5,Net claims related to transactions with the ESCB (TARGET2),0
2008-12-31,ASSET,9,6,Other claims within the Eurosystem (net),46297837
2008-12-31,ASSET,10,NA,Items in course of settlement,623195
2008-12-31,ASSET,11,1,Coins,44783716
2008-12-31,ASSET,11,2,Tangible and intangible fixed assets,804157896
2008-12-31,ASSET,11,3,Other financial assets,29013836
2008-12-31,ASSET,11,4,Accruals and prepaid expenses,713208538
2008-12-31,ASSET,11,5,Sundry,575692621
2008-12-31,LIABILITY,1,NA,Banknotes in circulation,18291344500
2008-12-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),4930859079
2008-12-31,LIABILITY,2,2,Deposit facility,2863000000
2008-12-31,LIABILITY,2,3,Fixed term deposits,0
2008-12-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2008-12-31,LIABILITY,4,1,General government,1520711578
2008-12-31,LIABILITY,4,2,Other liabilities,76793911
2008-12-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,803627501
2008-12-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,103335707
2008-12-31,LIABILITY,7,1,Deposits and other liabilities,78796254
2008-12-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2008-12-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,114395563
2008-12-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2008-12-31,LIABILITY,9,2,Liabilities related to the allocation of euro banknotes within the Eurosystem (net),2484729740
2008-12-31,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),35348308110
2008-12-31,LIABILITY,9,4,Other liabilities within the Eurosystem (net),0
2008-12-31,LIABILITY,10,NA,Items in course of settlement,25895521
2008-12-31,LIABILITY,11,1,Accruals and income collected in advance,114275189
2008-12-31,LIABILITY,11,2,Sundry,614559433
2008-12-31,LIABILITY,12,NA,Provisions,1506799733
2008-12-31,LIABILITY,13,NA,Revaluation accounts,1249112781
2008-12-31,LIABILITY,14,1,Capital,111243362
2008-12-31,LIABILITY,14,2,Ordinary reserve,111243362
2008-12-31,LIABILITY,14,3,Extraordinary reserve,55000000
2008-12-31,LIABILITY,14,4,Special reserve from the revaluation of land and buildings,516175995
2008-12-31,LIABILITY,14,5,Special reserve from the acquisition (free) of fixed assets,275033
2009-01-31,ASSET,1,NA,Gold and gold receivables,2925833633
2009-01-31,ASSET,2,1,Receivables from the IMF,138800294
2009-01-31,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",60846465
2009-01-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,408210239
2009-01-31,ASSET,4,1,"Balances with banks, security investments and loans",382149215
2009-01-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2009-01-31,ASSET,5,1,Main refinancing operations,22265000000
2009-01-31,ASSET,5,2,Longer-term refinancing operations,14529350000
2009-01-31,ASSET,5,3,Marginal lending facility,0
2009-01-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,93022247
2009-01-31,ASSET,7,NA,Securities of euro area residents denominated in euro,15213219219
2009-01-31,ASSET,8,NA,General government long term debt denominated in euro,7777980635
2009-01-31,ASSET,9,1,Participating interest in the ECB,398985933
2009-01-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910590
2009-01-31,ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,79525170
2009-01-31,ASSET,9,4,Net claims related to transactions with the ESCB (TARGET2),0
2009-01-31,ASSET,10,1,Tangible and intangible fixed assets,803054995
2009-01-31,ASSET,10,2,Other financial assets,29013836
2009-01-31,ASSET,10,3,Sundry,1345260249
2009-01-31,LIABILITY,1,NA,Banknotes in circulation,19160276100
2009-01-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),4485142724
2009-01-31,LIABILITY,2,2,Deposit facility,680000000
2009-01-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2009-01-31,LIABILITY,4,1,General government,2418339486
2009-01-31,LIABILITY,4,2,Other liabilities,54305109
2009-01-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,805197307
2009-01-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,99224468
2009-01-31,LIABILITY,7,1,Deposits and other liabilities,78796255
2009-01-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2009-01-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,114395563
2009-01-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2009-01-31,LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0
2009-01-31,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),35310678103
2009-01-31,LIABILITY,10,NA,Other liabilities,826197378
2009-01-31,LIABILITY,11,NA,Provisions,1502697012
2009-01-31,LIABILITY,12,NA,Revaluation accounts,1252975463
2009-01-31,LIABILITY,13,1,Capital,111243362
2009-01-31,LIABILITY,13,2,Ordinary reserve,111243362
2009-01-31,LIABILITY,13,3,Extraordinary reserve,55000000
2009-01-31,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2009-01-31,LIABILITY,13,5,Other special reserves,275033
2009-02-28,ASSET,1,NA,Gold and gold receivables,2929296925
2009-02-28,ASSET,2,1,Receivables from the IMF,138740724
2009-02-28,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",136390118
2009-02-28,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,410161065
2009-02-28,ASSET,4,1,"Balances with banks, security investments and loans",238899560
2009-02-28,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2009-02-28,ASSET,5,1,Main refinancing operations,23701900000
2009-02-28,ASSET,5,2,Longer-term refinancing operations,14704000000
2009-02-28,ASSET,5,3,Marginal lending facility,0
2009-02-28,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,81942306
2009-02-28,ASSET,7,NA,Securities of euro area residents denominated in euro,16515634600
2009-02-28,ASSET,8,NA,General government long term debt denominated in euro,7814044293
2009-02-28,ASSET,9,1,Participating interest in the ECB,398985933
2009-02-28,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910590
2009-02-28,ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,235973645
2009-02-28,ASSET,9,4,Net claims related to transactions with the ESCB (TARGET2),0
2009-02-28,ASSET,10,1,Tangible and intangible fixed assets,803469879
2009-02-28,ASSET,10,2,Other financial assets,29013836
2009-02-28,ASSET,10,3,Sundry,1393758587
2009-02-28,LIABILITY,1,NA,Banknotes in circulation,19215339500
2009-02-28,LIABILITY,2,1,Current accounts (covering the minimum reserve system),4849222901
2009-02-28,LIABILITY,2,2,Deposit facility,1155500000
2009-02-28,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2009-02-28,LIABILITY,4,1,General government,7840845915
2009-02-28,LIABILITY,4,2,Other liabilities,52258560
2009-02-28,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,841462386
2009-02-28,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,89417407
2009-02-28,LIABILITY,7,1,Deposits and other liabilities,78796255
2009-02-28,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2009-02-28,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,114395563
2009-02-28,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2009-02-28,LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0
2009-02-28,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),31968060672
2009-02-28,LIABILITY,10,NA,Other liabilities,901377466
2009-02-28,LIABILITY,11,NA,Provisions,1505897222
2009-02-28,LIABILITY,12,NA,Revaluation accounts,1257610462
2009-02-28,LIABILITY,13,1,Capital,111243362
2009-02-28,LIABILITY,13,2,Ordinary reserve,111243362
2009-02-28,LIABILITY,13,3,Extraordinary reserve,55000000
2009-02-28,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2009-02-28,LIABILITY,13,5,Other special reserves,275033
2009-03-31,ASSET,1,NA,Gold and gold receivables,3252741868
2009-03-31,ASSET,2,1,Receivables from the IMF,140929741
2009-03-31,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",117358063
2009-03-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,485570431
2009-03-31,ASSET,4,1,"Balances with banks, security investments and loans",180587
2009-03-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2009-03-31,ASSET,5,1,Main refinancing operations,28466000000
2009-03-31,ASSET,5,2,Longer-term refinancing operations,19403500000
2009-03-31,ASSET,5,3,Marginal lending facility,0
2009-03-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,88424289
2009-03-31,ASSET,7,NA,Securities of euro area residents denominated in euro,17801284105
2009-03-31,ASSET,8,NA,General government long term debt denominated in euro,7811788887
2009-03-31,ASSET,9,1,Participating interest in the ECB,435391713
2009-03-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591
2009-03-31,ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,197773305
2009-03-31,ASSET,9,4,Net claims related to transactions with the ESCB (TARGET2),0
2009-03-31,ASSET,10,1,Tangible and intangible fixed assets,802265899
2009-03-31,ASSET,10,2,Other financial assets,29013836
2009-03-31,ASSET,10,3,Sundry,1449247198
2009-03-31,LIABILITY,1,NA,Banknotes in circulation,19348439600
2009-03-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),3557389721
2009-03-31,LIABILITY,2,2,Deposit facility,706000000
2009-03-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2009-03-31,LIABILITY,4,1,General government,15104624593
2009-03-31,LIABILITY,4,2,Other liabilities,58298624
2009-03-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,840465557
2009-03-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,100908057
2009-03-31,LIABILITY,7,1,Deposits and other liabilities,80632778
2009-03-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2009-03-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,116196654
2009-03-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2009-03-31,LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0
2009-03-31,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),36851518945
2009-03-31,LIABILITY,10,NA,Other liabilities,955351618
2009-03-31,LIABILITY,11,NA,Provisions,1512935575
2009-03-31,LIABILITY,12,NA,Revaluation accounts,1586681039
2009-03-31,LIABILITY,13,1,Capital,111243362
2009-03-31,LIABILITY,13,2,Ordinary reserve,111243362
2009-03-31,LIABILITY,13,3,Extraordinary reserve,55000000
2009-03-31,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2009-03-31,LIABILITY,13,5,Other special reserves,275033
2009-04-30,ASSET,1,NA,Gold and gold receivables,3254686032
2009-04-30,ASSET,2,1,Receivables from the IMF,140929741
2009-04-30,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",129296092
2009-04-30,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,429408840
2009-04-30,ASSET,4,1,"Balances with banks, security investments and loans",160706
2009-04-30,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2009-04-30,ASSET,5,1,Main refinancing operations,27936000000
2009-04-30,ASSET,5,2,Longer-term refinancing operations,20743200000
2009-04-30,ASSET,5,3,Marginal lending facility,0
2009-04-30,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,86774106
2009-04-30,ASSET,7,NA,Securities of euro area residents denominated in euro,21010497217
2009-04-30,ASSET,8,NA,General government long term debt denominated in euro,7788473150
2009-04-30,ASSET,9,1,Participating interest in the ECB,435391713
2009-04-30,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591
2009-04-30,ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0
2009-04-30,ASSET,9,4,Net claims related to transactions with the ESCB (TARGET2),0
2009-04-30,ASSET,10,1,Tangible and intangible fixed assets,803568246
2009-04-30,ASSET,10,2,Other financial assets,29013836
2009-04-30,ASSET,10,3,Sundry,1491756249
2009-04-30,LIABILITY,1,NA,Banknotes in circulation,19658100000
2009-04-30,LIABILITY,2,1,Current accounts (covering the minimum reserve system),3549864630
2009-04-30,LIABILITY,2,2,Deposit facility,1290000000
2009-04-30,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2009-04-30,LIABILITY,4,1,General government,8029430148
2009-04-30,LIABILITY,4,2,Other liabilities,55469586
2009-04-30,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,817157386
2009-04-30,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,71783341
2009-04-30,LIABILITY,7,1,Deposits and other liabilities,80632778
2009-04-30,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2009-04-30,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,116196654
2009-04-30,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2009-04-30,LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,153708550
2009-04-30,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),46774570043
2009-04-30,LIABILITY,10,NA,Other liabilities,918419954
2009-04-30,LIABILITY,11,NA,Provisions,1518153013
2009-04-30,LIABILITY,12,NA,Revaluation accounts,1583642684
2009-04-30,LIABILITY,13,1,Capital,111243362
2009-04-30,LIABILITY,13,2,Ordinary reserve,111243362
2009-04-30,LIABILITY,13,3,Extraordinary reserve,55000000
2009-04-30,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2009-04-30,LIABILITY,13,5,Other special reserves,275033
2009-05-31,ASSET,1,NA,Gold and gold receivables,3255569063
2009-05-31,ASSET,2,1,Receivables from the IMF,196848367
2009-05-31,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",138613916
2009-05-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,436272557
2009-05-31,ASSET,4,1,"Balances with banks, security investments and loans",175728
2009-05-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2009-05-31,ASSET,5,1,Main refinancing operations,24241000000
2009-05-31,ASSET,5,2,Longer-term refinancing operations,21274200000
2009-05-31,ASSET,5,3,Marginal lending facility,0
2009-05-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,86880971
2009-05-31,ASSET,7,NA,Securities of euro area residents denominated in euro,21289012340
2009-05-31,ASSET,8,NA,General government long term debt denominated in euro,7791535264
2009-05-31,ASSET,9,1,Participating interest in the ECB,435391713
2009-05-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591
2009-05-31,ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,105064665
2009-05-31,ASSET,9,4,Net claims related to transactions with the ESCB (TARGET2),0
2009-05-31,ASSET,10,1,Tangible and intangible fixed assets,806131323
2009-05-31,ASSET,10,2,Other financial assets,29078156
2009-05-31,ASSET,10,3,Sundry,1474943457
2009-05-31,LIABILITY,1,NA,Banknotes in circulation,19716841200
2009-05-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),5875838249
2009-05-31,LIABILITY,2,2,Deposit facility,30000000
2009-05-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2009-05-31,LIABILITY,4,1,General government,12582515638
2009-05-31,LIABILITY,4,2,Other liabilities,68729154
2009-05-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,760165740
2009-05-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,55755857
2009-05-31,LIABILITY,7,1,Deposits and other liabilities,80632778
2009-05-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2009-05-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,116196654
2009-05-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2009-05-31,LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0
2009-05-31,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),38535592100
2009-05-31,LIABILITY,10,NA,Other liabilities,976232644
2009-05-31,LIABILITY,11,NA,Provisions,1518055291
2009-05-31,LIABILITY,12,NA,Revaluation accounts,1582135054
2009-05-31,LIABILITY,13,1,Capital,111243362
2009-05-31,LIABILITY,13,2,Ordinary reserve,111243362
2009-05-31,LIABILITY,13,3,Extraordinary reserve,55000000
2009-05-31,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,516175995
2009-05-31,LIABILITY,13,5,Other special reserves,275033
2009-06-30,ASSET,1,NA,Gold and gold receivables,3141276260
2009-06-30,ASSET,2,1,Receivables from the IMF,192914598
2009-06-30,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",125816544
2009-06-30,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,369672067
2009-06-30,ASSET,4,1,"Balances with banks, security investments and loans",157674
2009-06-30,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2009-06-30,ASSET,5,1,Main refinancing operations,8415000000
2009-06-30,ASSET,5,2,Longer-term refinancing operations,45500200000
2009-06-30,ASSET,5,3,Marginal lending facility,0
2009-06-30,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,77111010
2009-06-30,ASSET,7,NA,Securities of euro area residents denominated in euro,21311577627
2009-06-30,ASSET,8,NA,General government long term debt denominated in euro,7302477337
2009-06-30,ASSET,9,1,Participating interest in the ECB,435391713
2009-06-30,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591
2009-06-30,ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,203503435
2009-06-30,ASSET,9,4,Net claims related to transactions with the ESCB (TARGET2),0
2009-06-30,ASSET,10,1,Tangible and intangible fixed assets,799724767
2009-06-30,ASSET,10,2,Other financial assets,29078156
2009-06-30,ASSET,10,3,Sundry,1182834112
2009-06-30,LIABILITY,1,NA,Banknotes in circulation,19780322100
2009-06-30,LIABILITY,2,1,Current accounts (covering the minimum reserve system),8877179541
2009-06-30,LIABILITY,2,2,Deposit facility,3968000000
2009-06-30,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0
2009-06-30,LIABILITY,4,1,General government,7072602661
2009-06-30,LIABILITY,4,2,Other liabilities,51020812
2009-06-30,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,746228669
2009-06-30,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,57600504
2009-06-30,LIABILITY,7,1,Deposits and other liabilities,88073680
2009-06-30,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2009-06-30,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,113784615
2009-06-30,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2009-06-30,LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,0
2009-06-30,LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET2),44721805171
2009-06-30,LIABILITY,10,NA,Other liabilities,969013978
2009-06-30,LIABILITY,11,NA,Provisions,1521994379
2009-06-30,LIABILITY,12,NA,Revaluation accounts,1462739345
2009-06-30,LIABILITY,13,1,Capital,111243362
2009-06-30,LIABILITY,13,2,Ordinary reserve,111243362
2009-06-30,LIABILITY,13,3,Extraordinary reserve,55000000
2009-06-30,LIABILITY,13,4,Special reserve from the revaluation of land and buildings,510518679
2009-06-30,LIABILITY,13,5,Other special reserves,275033
2009-07-31,ASSET,1,NA,Gold and gold receivables,3142704149
2009-07-31,ASSET,2,1,Receivables from the IMF,192914598
2009-07-31,ASSET,2,2,"Balances with banks and security investments, external loans and other external assets",117462390
2009-07-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,335362681
2009-07-31,ASSET,4,1,"Balances with banks, security investments and loans",155268
